sent0,sent1,hard_neg
"Nor is there any evidence that levels as high as 7,000 ppm of CO2 did or could cause ocean acidity.",It has been estimated that the extra dissolved carbon dioxide has caused the ocean's average surface pH to shift by about −0.1 unit from pre-industrial levels.,"The production studio worked with clients such as MTV, PBS, CBS, NBC, ABC, Discovery Networks, A&E, and USA Network... virtually every broadcast, cable and web based content provider."
"Nor is there any evidence that levels as high as 7,000 ppm of CO2 did or could cause ocean acidity.","Higher atmospheric CO2 concentrations have led to an increase in dissolved CO2, which causes ocean acidification.","The original plan had six roads converging, although this was later increased to seven."
"Nor is there any evidence that levels as high as 7,000 ppm of CO2 did or could cause ocean acidity.","It plays an important role in the ocean's carbon cycle, and there is evidence of ongoing ocean acidification caused by carbon dioxide emissions.","Vic Hoyland (born 1945), English classical composer"
"Nor is there any evidence that levels as high as 7,000 ppm of CO2 did or could cause ocean acidity.","Firstly, the high carbon dioxide concentration in the atmosphere would cause the oceans to become acidic, and dissolve any carbonates contained within—starkly at odds with the deposition of cap carbonates.","Its name is of Slavonic origin, deriving from * slatina, which means swamp."
We expect to see record cold temperatures even during global warming.,"""Judging from the record of the past interglacial ages, the present time of high temperatures should be drawing to an end, to be followed by a long period of considerably colder temperatures leading into the next glacial age some 20,000 years from now.""","Tribute awards will be given to two-time Academy Award nominee Julie Delpy, and Golden Globe, SAG, and Emmy nominee Christina Ricci"
We expect to see record cold temperatures even during global warming.,Global warming is the long-term rise in the average temperature of the Earth's climate system.,It is illegal for a third party and a registered political party or a candidate to collude with each other for the purpose of circumventing the maximum amount that a registered party is allowed for election expenses.
We expect to see record cold temperatures even during global warming.,It is expected that most ecosystems will be affected by higher atmospheric CO2 levels and higher global temperatures.,Geoffrey Bodine would win the pole position for Hendrick Motorsports at a speed of ; while racing speeds would average .
We expect to see record cold temperatures even during global warming.,Multiple independently produced instrumental datasets confirm that the 2009–2018 decade was 0.93 ± 0.07 °C warmer than the pre-industrial baseline (1850–1900).,"The final launch was that of the Hinode (SOLAR-B) spacecraft, along with the SSSat microsat and a nanosatellite, HIT-SAT, on 22 September 2006."
We expect to see record cold temperatures even during global warming.,This is much colder than the conditions that actually exist at the Earth's surface (the global mean surface temperature is about 14 °C).,"Stith settled in Charles City County, Virginia sometime after coming to the colony sometime before 1656."
"A longer and warmer growing season also has an effect, Dr. Overpeck said, as plants take up more water, further reducing stream flows.","Increased temperatures and altered hydrological cycles are predicted to translate to shorter growing seasons, overall reduced biomass production, and lower grain yields.",He was employed at the Glasgow School of Art from 1900 to 1906 and as Professor of drawing at the Académie des Beaux-arts in Brussels thereafter until 1937.
